Facility Number,Facility Name,Common Name,Zone,Region,District,Council,Ward,Village/Street,Facility Type,Operating Status,Ownership,Registration Number,CTC Number,Latitude,Longitude
111937-9,Jerry and Gad,Jerry and Gad,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Kibamba,Kibamba,Dispensary,Operating,Private - For Profit,,,-6.79326,39.07189
102081-7,Jibondo,Jibondo,Eastern Zone,Pwani,Mafia,Mafia DC,Jibondo,Jibondo,Dispensary,Operating,Public - LGA,65009,,-8.05228,39.71948
102082-5,Jibu lenu,Jibu Lenu,Western Zone,Kigoma,Kigoma,Kigoma Ujiji MC,Kibirizi,Butunga,Dispensary,Closed (Temporary),Private - For Profit,,,-4.846571,29.653026
102083-3,Jija,,Western Zone,Simiyu,Maswa,Maswa DC,Shishiyu,Jija,Dispensary,Operating,Public - LGA,,,-2.85265,33.61258
102084-1,Jimbo,Jimbo,Eastern Zone,Pwani,Mafia,Mafia DC,Kirongwe,Jimbo,Dispensary,Operating,Public - LGA,65013,,-7.78982,39.8611
102085-8,JINAMO,,Western Zone,Simiyu,Meatu,Meatu DC,Mwanjolo,Jinamo,Dispensary,Operating,Public - LGA,,,-3.73179,34.5243
102088-2,Jionee Mwenyewe,Jioneemwenyewe,Western Zone,Tabora,Urambo,Urambo DC,Songambele,Jionee Mwenyewe,Dispensary,Operating,Public - LGA,,,-4.93861,32.16771
102089-0,Jipe,,Northern Zone,Kilimanjaro,Mwanga,Mwanga DC,Jipe,Jipe,Dispensary,Operating,Public,,,-3.57208,37.7189
111387-7,Jitihada,Pisalala ya zamani,Southern Highlands Zone,Iringa,Iringa,Iringa MC,Kitanzini,Jamati,Dispensary,Operating,Private - For Profit,116220,,-7.78377,35.69437
112045-0,JKT Makuyuni,makuyuni jkt,Northern Zone,Arusha,Monduli,Monduli DC,Not set,Not set,Dispensary,Operating,Public - Military,,,-3.33125,36.062
105176-2,JKT Mlale,Mlale,Southern Zone,Ruvuma,Songea,Songea DC,Magagura,Lusonga,Dispensary,Operating,Public - Military,,,-10.79784,35.27141
111491-7,JMS HUMAN HEALTH DISP.,JMS DISP,Northern Zone,Arusha,Arusha,Arusha CC,Not set,Not set,Dispensary,Operating,Private,23248,,-3.36536,36.68959
111449-5,Joan msakuzi,Joan Msakuzi,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Mbezi,Msakuzi,Dispensary,Operating,Private - For Profit,,,-6.774087,39.081038
102087-4,Jobaj,Jiobaj,Northern Zone,Arusha,Karatu,Karatu DC,Baray,Jobaj,Dispensary,Operating,Public - LGA,,,-3.553294,35.340498
102095-7,Jobi,,Northern Zone,Arusha,Arusha,Arusha CC,Ngarenaro,NHC,Health Center,Closed,Private - For Profit,,,-3.22501,36.4056
102097-3,Jogolo,JOGOLO,Central Zone,Dodoma,Chemba,Chemba DC,Ovada,Jogolo,Dispensary,Operating,Public,,,-5.224799,35.177004
111122-8,Johasi,PRINMAT Sokoni,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kivule,Kivule,Maternity Home,Operating,Private - For Profit,73,,-6.91176,39.19371
109636-1,John Muniko,Genesis,Lake Zone,Mwanza,Nyamagana,Nyamagana MC,Igoma,Shamaliwa 'B',Dispensary,Operating,Private - For Profit,193252,,-2.549267,32.990738
102098-1,Johnson Maternity home,Jonthan Maternity Home??,Southern Highlands Zone,Mbeya,Rungwe,Rungwe DC,Masebe,Masebe,Clinic,Closed,Private,,,-9.32139,33.6584
102099-9,Jojiro,Jojiro,Lake Zone,Mwanza,Kwimba,Kwimba DC,Ng'hundi,Jojiro,Dispensary,Operating,Public - LGA,,,-3.03848,33.26088
102100-5,Jojo,Jojo,Eastern Zone,Pwani,Mafia,Mafia DC,Kirongwe,Jojo,Dispensary,Operating,Public - LGA,65016,,-7.765279,39.806733
110302-7,Jordan University,,Eastern Zone,Morogoro,Morogoro,Morogoro MC,Kichangani,Kola 'A',Dispensary,Operating,Private - Faith based organization (FBO),,,-6.80639,37.70037
102102-1,Joseph Medical Care,Joseph Medical Care,Lake Zone,Mwanza,Magu,Magu DC,Magu Mjini,Bank,Dispensary,Closed (Temporary),Private - For Profit,247016,,-2.5927,33.44506
110775-4,JPM,JPM,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Goba,Goba,Dispensary,Operating,Private - For Profit,71284,,-6.73964,39.16628
102103-9,JPM,JPM,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Ndugumbi,Not set,Hospital - Referral Hospital,Operating,Private - Faith based organization (FBO),,,-6.802534,39.246076
111447-9,JPM Charitable Trust Fund,JPM Hospital,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kimanga,Tembomgwaza,Hospital - Other Hospital,Closed,Private - NGOs,,,-6.82712,39.1963
102064-3,JS Barbra,JS Babhra,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mikocheni,Mikocheni B,Dispensary,Operating,Public - LGA,,,-6.75627,39.23964
102104-7,Juakali,,Northern Zone,Arusha,Arumeru,Meru DC,Nkoaranga,Nshupu,Dispensary,Operating,Private - Faith based organization (FBO),22018,,-3.35397,36.84
102105-4,Juani,Juani,Eastern Zone,Pwani,Mafia,Mafia DC,Jibondo,Juani,Dispensary,Operating,Public - LGA,65017,,-7.990958,39.781299
102106-2,Juma Kisiwani,,Lake Zone,Mwanza,Sengerema,Sengerema DC,Katunguru,Juma kisiwani,Dispensary,Operating,Public - LGA,,,-2.43769,32.746
102108-8,Juva,Juva,Central Zone,Dodoma,Kongwa,Kongwa DC,Zoissa,Zoissa,Dispensary,Operating,Private - For Profit,15001,,-5.812854,36.435591
102109-6,Juwa,,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyakato,National Housing Magharibi,Dispensary,Operating,Private,,,-2.537179,32.95515
102113-8,JWTZ Changanyikeni,JWTZ Changanyikeni Rada,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Makongo,Changanyikeni,Dispensary,Operating,Public - Military,,,-6.77228,39.18434
102117-9,JWTZ Ubungo,JWTZ Ubungo- Makuburi,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Makuburi,Kibangu,Dispensary,Operating,Public - Parastatal,,,-6.81032,39.19725
103323-2,K's,Dr Kanama Hospital,Southern Highlands Zone,Mbeya,Mbeya,Mbeya CC,Forest,Makanisani,Hospital,Operating,Private - For Profit,,,-8.909453,33.453706
111383-6,K.H,KH Dispensary,Eastern Zone,Dar es Salaam,Ubungo,Ubungo MC,Mbezi,Mbezi Luis,Dispensary,Operating,Private - For Profit,71490,,-6.783336,39.11571
102120-3,K.K.K.T. IMANI,IMANI DISPENSARY,Lake Zone,Mwanza,Ilemela,Ilemela MC,Nyamanoro,Not set,Dispensary,Operating,Private - Faith based organization (FBO),193237,,-2.503855,32.901957
102121-1,K.V Mission,TAG-Kigilagila,Eastern Zone,Dar es Salaam,Ilala,Ilala MC,Kiwalani,Kigilagila,Dispensary,Operating,Private - For Profit,72041,,-6.8654,39.2211
108552-1,K9 JWTZ,K9.JWTZ,Lake Zone,Kagera,Ngara,Ngara DC,Kasulo,Kasulo,Dispensary,Operating,Public - Military,,,-2.53551,30.78685
102123-7,Kaagya,Kaagya,Lake Zone,Kagera,Bukoba,Bukoba DC,Kaagya,Mushozi,Dispensary,Operating,Public - LGA,102123-7,18-02-0109,-1.161097,31.855456
111517-9,KAANAN,KAANAN,Eastern Zone,Morogoro,Kilombero,Kilombero DC,Chita,Chita,Dispensary,Operating,Private - For Profit,,,-8.5023,35.9356
109456-4,Kabale,Kabale,Lake Zone,Mara,Bunda,Bunda TC,Bunda Stoo,Bondeni,Maternity Home,Operating,Private - For Profit,,,-2.014353,33.861347
102126-0,Kabale,Mweyanjare,Lake Zone,Kagera,Bukoba,Bukoba DC,Karabagaine,Kiziru,Dispensary,Operating,Public - LGA,102126-0,18-02-0110,-1.33273,31.7545
110087-4,"Kabale""B""","Kabale ""B""",Lake Zone,Kagera,Muleba,Muleba DC,Biirabo,Kabare,Dispensary,Operating,Public - LGA,,,-1.86493,31.57631
102128-6,Kabalenzi,Kabalenzi,Lake Zone,Kagera,Ngara,Ngara DC,Kanazi,Kabalenzi,Dispensary,Operating,Public - LGA,,,-2.52926,30.5701
102131-0,Kabanga,Kabanga Dispensary,Lake Zone,Geita,Mbogwe,Mbogwe DC,Ng'homolwa,Kabanga,Dispensary,Pending Operation - Under Construction,Public,,,-3.7139,32.33653
102133-6,Kabanga,Red cross,Lake Zone,Kagera,Ngara,Ngara DC,Kabanga,Kabanga,Dispensary,Operating,Private - For Profit,,,-2.64679,30.45889
111511-2,Kabanga Disp.,Kabanga disp,Lake Zone,Kagera,Ngara,Ngara DC,Kabanga,Kabanga,Dispensary,Operating,Public - LGA,M2520412,,-2.63492,30.47025
102132-8,Kabanga Mission,Kabanga,Western Zone,Kigoma,Kasulu,Kasulu TC,Msambara,Kabanga,Hospital - Referral Hospital,Operating,Private - Faith based organization (FBO),,,-4.50933,30.10508
102125-2,Kabare,Kabare Disp,Western Zone,Kigoma,Kakonko,Kakonko DC,Muhange,Muhange,Dispensary,Operating,Private,161002,,-3.128926,30.870933
110261-5,Kabare,Kabare,Lake Zone,Kagera,Muleba,Muleba DC,Biirabo,Biirabo,Dispensary,Operating,Public - LGA,,18-03-0117,-1.84344,31.54995
102137-7,Kabasa,KABASA,Lake Zone,Mara,Bunda,Bunda TC,Kabasa,Kalisumba/shuleni,Dispensary,Operating,Public - LGA,,,-1.97002,33.8146
102138-5,Kabiga AICT,Kabiga AICT,Lake Zone,Geita,Nyang'hwale,Nyang'hwale DC,Kakora,Not set,Dispensary,Operating,Private - Faith based organization (FBO),196005,,-3.07761,32.75239
108606-5,Kabila,,Lake Zone,Mwanza,Magu,Magu DC,Nkungulu,Kabila,Health Center,Operating,Public - LGA,,,-2.72905,33.62637
102140-1,Kabingo,Kabingo Dispensary,Western Zone,Kigoma,Kakonko,Kakonko DC,Kiziguzigu,Kabingo,Dispensary,Operating,Public - LGA,,,-3.3185,30.9189
102142-7,Kabondo,,Western Zone,Simiyu,Meatu,Meatu DC,Ng'hoboko,Kabondo,Dispensary,Operating,Public - LGA,,,-3.5957,34.07744
102143-5,Kaboya,Kaboya disp,Lake Zone,Kagera,Muleba,Muleba DC,Mayondwe,Mayondwe,Dispensary,Operating,Public - Military,,18-03-0105,-1.59586,31.7442
109702-1,Kabuhima Bakwana Na.1,Bakwata,Lake Zone,Geita,Bukombe,Bukombe DC,Uyovu,Kabuhima,Dispensary,Closed,Private,,,-3.47578,31.90087
102144-3,Kabuku,Kabuku,Northern Zone,Tanga,Handeni,Handeni DC,Kabuku,Kabuku nje,Health Center,Operating,Public - LGA,,,-5.49802,38.4732
102145-0,Kabuku Ndani,Kabuku Ndani,Northern Zone,Tanga,Handeni,Handeni DC,Kabuku Ndani,Kabuku Ndani,Dispensary,Operating,Public - LGA,,,-5.52059,38.51312
112044-3,Kabulanzwili,Zahanati ya Kabulanzwili,Western Zone,Kigoma,Kasulu,Kasulu DC,Kurugongo,Kabulazwili,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-4.69529,30.35852
102146-8,Kabungu,Kabungu Dispensary,Southern Highlands Zone,Katavi,Mpanda,Mpanda DC,Kabungu,Kabungu,Dispensary,Operating,Public - LGA,RK/KIJ/22,23-02-0106,-6.30444,30.97492
102147-6,Kaburonge,Kaburonge,Southern Highlands Zone,Katavi,Mlele,Nsimbo DC,Litapunga,Kaburonge A,Dispensary,Operating,Public - LGA,,,-6.13147,31.119
102148-4,Kabusungu,Kabusungu,Lake Zone,Mwanza,Ilemela,Ilemela MC,Sangabuye,Kabusungu,Dispensary,Operating,Public - LGA,,,-2.43143,33.0199
102149-2,Kabwe,Kabwe Disp,Southern Highlands Zone,Rukwa,Nkasi,Nkasi DC,Kabwe,Kabwe,Dispensary,Operating,Public - LGA,,,-7.0466,30.5533
102150-0,Kachwamba,Kachwamba,Lake Zone,Geita,Chato,Chato DC,Kachwamba,Kachwamba,Health Center,Operating,Public,,,-2.6599,31.57784
100670-9,Kada,KADA,Lake Zone,Mara,Musoma,Musoma MC,Mwigobero,Mwigobero,Dispensary,Operating,Private - For Profit,205002,,-1.495167,33.808871
100671-7,Kada Mugumu,Isabayaya,Lake Zone,Mara,Serengeti,Serengeti DC,Mugumu,Stendi Mpya,Dispensary,Operating,Private - For Profit,,,-1.83825,34.673
102151-8,Kadando,kadando,Northern Zone,Kilimanjaro,Same,Same DC,Maore,Kadando,Dispensary,Operating,Public - LGA,,,-4.2909,38.02837
109556-1,Kadashi,Kadashi,Lake Zone,Mwanza,Kwimba,Kwimba DC,Maligisu,Kadashi,Dispensary,Pending Operation - Under Construction,Public - LGA,,,-2.80064,33.5151
102152-6,Kadoto,,Western Zone,Simiyu,Maswa,Maswa DC,Kadoto,Kadoto,Dispensary,Operating,Public - LGA,,,-2.95195,33.66369
102153-4,Kaengesa,,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Kaengesa,Kaengesa 'A',Health Center,Operating,Private - Faith based organization (FBO),,,-8.26627,31.7034
102154-2,Kafita,Kafita,Lake Zone,Geita,Nyang'hwale,Nyang'hwale DC,Kafita,Kafita,Dispensary,Operating,Public - LGA,,,-3.23541,32.58459
102155-9,Kafukoka,Kafukoka Disp,Southern Highlands Zone,Rukwa,Kalambo,Kalambo DC,Kisumba,Kafukoka,Dispensary,Operating,Public - LGA,,,-8.37728,31.21324
102156-7,Kafunzo,zahanati,Lake Zone,Mwanza,Sengerema,Buchosa DC,Kafunzo,Kafunzo,Dispensary,Operating,Public - LGA,,,-2.4575,32.1912
102158-3,Kagemu,kagemu,Lake Zone,Kagera,Bukoba,Bukoba MC,Kitendaguro,Kagemu,Dispensary,Operating,Public - LGA,,,-1.3558,31.80167
102159-1,Kagenyi,Kagenyi,Lake Zone,Kagera,Kyerwa,Kyerwa DC,Kyerwa,Kagenyi,Dispensary,Operating,Public - LGA,18010122,,-1.41417,30.79806
102161-7,Kagera,,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Makurumla,Kagera,Dispensary,Closed,Private - For Profit,,,-6.79742,39.2469
102163-3,Kagera Nkanda,Zahanati ya Kagera,Western Zone,Kigoma,Kasulu,Kasulu DC,Kagerankanda,Kagerakanda,Dispensary,Operating,Public - LGA,,,-4.580962,30.581582
109969-6,Kagera Salient IN,Kagera Salient IN,Lake Zone,Kagera,Missenyi,Missenyi DC,Kyaka,Not set,Dispensary,Operating,Private - For Profit,186200,,-1.25211,31.42428
102166-6,Kagera Sugar,KAGERA SUGAR HOSPITAL,Lake Zone,Kagera,Missenyi,Missenyi DC,Nsunga,Ngando,Hospital,Operating,Private - For Profit,102166-6,18-08-0200,-1.21332,31.27517
102167-4,Kagezi,Kagezi,Western Zone,Kigoma,Kibondo,Kibondo DC,Kumsenga,Kagezi,Health Center,Operating,Public - LGA,,,-3.78415,30.502
109779-9,Kagoma,Kagoma,Lake Zone,Kagera,Biharamulo,Biharamulo DC,Nyamigogo,Kagoma,Dispensary,Operating,Public - LGA,,,-2.63407,31.30908
102168-2,Kagoma,Kagoma Dispensary,Lake Zone,Kagera,Muleba,Muleba DC,Kagoma,Kagoma,Dispensary,Operating,Public - LGA,,18-03-0118,-1.76839,31.69913
102169-0,Kagondo,Kagondo Hospital,Lake Zone,Kagera,Muleba,Muleba DC,Muhutwe,Nyakashenye,Hospital - Other Hospital,Operating,Private - Faith based organization (FBO),,18-03-0300,-1.54749,31.7043
102170-8,Kagongo,Kagongo Health Centre,Northern Zone,Kilimanjaro,Mwanga,Mwanga DC,Lang'ata,Kagongo,Health Center,Operating,Public,,,-3.6857,37.71603
110148-4,Kagongo,Kagongo,Western Zone,Kigoma,Kigoma,Kigoma DC,Kagongo,Kagongo,Dispensary,Operating,Public - LGA,,,-4.79859,29.64718
102172-4,Kagongwa,kagongwa,Western Zone,Shinyanga,Kahama,Kahama TC,Kagongwa,Kagongwa,Dispensary,Operating,Public - LGA,,,-3.86622,32.75998
102174-0,Kagu,Kagu,Lake Zone,Geita,Geita,Geita DC,Kagu,Kagu,Dispensary,Operating,Public - LGA,,19-06-0128,-2.7448,32.05064
102175-7,Kagunga,Kagunga,Western Zone,Kigoma,Kigoma,Kigoma DC,Kagunga,Kagunga,Dispensary,Operating,Public - LGA,,,-4.46976,29.65557
102176-5,Kagunga,Kagunga health center,Lake Zone,Mwanza,Sengerema,Sengerema DC,Kagunga,Kagunga,Health Center,Operating,Public,,,-2.91612,32.62475
102177-3,Kagunguli,Kagunguli,Lake Zone,Mwanza,Ukerewe,Ukerewe DC,Kagunguli,Kagunguli,Health Center,Operating,Public - LGA,,19-01-0102,-2.00909,33.07472
102178-1,Kaguruka,Zahanati ya Kaguruka,Western Zone,Kigoma,Kasulu,Kasulu DC,Rungwe Mpya,Kaguruka,Dispensary,Operating,Public - LGA,,,-4.795592,30.252973
102180-7,Kahama,Kahama,Lake Zone,Mwanza,Ilemela,Ilemela MC,Ilemela,Kahama,Dispensary,Operating,Public - LGA,,,-2.44001,33.01751
102181-5,Kahama,Government,Western Zone,Shinyanga,Kahama,Kahama TC,Malunga,Malunga,Hospital - District Hospital,Operating,Public - LGA,,,-3.82614,32.59488
102182-3,Kahama Nhalanga,Kahama Nhalanga,Western Zone,Tabora,Nzega,Nzega DC,Kahama Nhalanga,Kahama Mhalanga,Dispensary,Operating,Public - LGA,,,-4.17478,32.7832
108906-9,Kahanga,Kabujuma,Lake Zone,Kagera,Karagwe,Karagwe DC,Nyakasimbi,Kahanga,Dispensary,Operating,Public - LGA,,18-01-0500,-1.8873,31.13512
102183-1,Kahangara,Kahangara,Lake Zone,Mwanza,Magu,Magu DC,Kahangara,Kahangara,Health Center,Operating,Public - LGA,,,-2.57904,33.35352
102184-9,Kahe,,Northern Zone,Kilimanjaro,Moshi,Moshi DC,Kahe,Ngasinyi,Dispensary,Operating,Public,,,-3.48675,37.460033
102185-6,Kahe,Kahe Dispensary,Northern Zone,Kilimanjaro,Rombo,Rombo DC,Ubetu Kahe,Kahe,Dispensary,Operating,Public - LGA,,,-3.048642,37.615526
111176-4,Kahhobaco,Kahabako,Western Zone,Kigoma,Kasulu,Kasulu TC,Nyansha,Nyansha,Dispensary,Operating,Private - For Profit,,,-4.592562,30.106775
102186-4,Kahororo,Kahororo dispensary,Lake Zone,Kagera,Bukoba,Bukoba MC,Kahororo,Not set,Dispensary,Operating,Public - LGA,,,-1.30298,31.84233
102187-2,Kahororo,Kahoro sec health post,Lake Zone,Kagera,Bukoba,Bukoba MC,Kahororo,Rwazi,Clinic,Closed,Public - LGA,,,-1.30287,31.84232
102188-0,Kahumulo,Kahumulo Dispensary,Lake Zone,Mwanza,Sengerema,Sengerema DC,Busisi,Kahumulo,Dispensary,Operating,Public,,,-2.68085,32.80726
102190-6,Kahunda,Kahunda A.I.C,Lake Zone,Mwanza,Sengerema,Buchosa DC,Katwe,Kahunda,Dispensary,Operating,Private - Faith based organization (FBO),,,-2.400444,32.061311
102191-4,Kaibanja,,Lake Zone,Kagera,Bukoba,Bukoba DC,Kaibanja,Kaibanja,Dispensary,Operating,Public - LGA,,,-1.418657,31.573011
102192-2,Kaigara,Kaigara Health center.,Lake Zone,Kagera,Muleba,Muleba DC,Muleba,Tukutuku,Health Center,Operating,Public - LGA,,18-03-0102,-1.83242,31.6709
102193-0,Kainam,Kainam,Northern Zone,Manyara,Mbulu,Mbulu TC,Kainam,Kainam,Dispensary,Operating,Public,AR/KJ/103,,-3.91903,35.5861
110676-4,Kairuki,Kairuki,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Sinza,Sinza B,Dispensary,Closed,Private - For Profit,,,-6.78572,39.226701
102195-5,Kaisho,Kaisho Dispensary,Lake Zone,Kagera,Kyerwa,Kyerwa DC,Kaisho,Kaisho,Dispensary,Operating,Public - LGA,18010123,,-1.26382,30.68813
102196-3,Kaja,Kaja,Eastern Zone,Dar es Salaam,Kinondoni,Kinondoni MC,Mwananyamala,Bwawani,Dispensary,Operating,Private - For Profit,,,-6.79145,39.257
102197-1,Kajana,Zahanati ya Kajana,Western Zone,Kigoma,Buhigwe,Buhigwe DC,Kajana,Kajana,Dispensary,Operating,Public - LGA,,,-4.33145,30.14784
102198-9,Kajima,Kajima,Southern Zone,Ruvuma,Tunduru,Tunduru DC,Jakika,Kajima,Dispensary,Operating,Public - LGA,,,-10.65773,37.05073
102199-7,Kajunguti,SR THERESE DISP,Lake Zone,Kagera,Missenyi,Missenyi DC,Mushasha,Mushasha,Health Center,Operating,Private - Faith based organization (FBO),102199-7,18-08-0106,-1.24282,31.48279
102200-3,Kajunjumele,Kajunjumele hospital,Southern Highlands Zone,Mbeya,Kyela,Kyela DC,Kajunjumele,Kajunjumele,Dispensary,Operating,Public - LGA,,12-03-0113,-9.596828,33.925798
102202-9,Kakanja,Kakanja,Lake Zone,Kagera,Kyerwa,Kyerwa DC,Kimuli,Kakanja,Dispensary,Operating,Public - LGA,18010124,,-1.42187,30.91092
112165-6,Kakebe,Kakebe,Western Zone,Shinyanga,Kahama,Kahama TC,Nyandekwa,Nyandekwa,Dispensary,Operating,Public - LGA,,,-3.94175,32.47924
108690-9,Kakese,Kakese,Southern Highlands Zone,Katavi,Mpanda,Mpanda TC,Kakese,Mbugani,Dispensary,Operating,Public - LGA,,23-01-0107,-6.425668,30.988416
109665-0,Kakesio,,Northern Zone,Arusha,Ngorongoro,Ngorongoro DC,Kakesio,Kakesio,Dispensary,Operating,Public - LGA,,,-3.37888,34.98792
102205-2,Kakindo,Kakindo Dispensary,Lake Zone,Kagera,Missenyi,Missenyi DC,Kassambya,Not set,Dispensary,Operating,Public - LGA,102205-2,18-08-0115,-1.16542,31.4893
102207-8,Kakiro,Kakiro,Lake Zone,Kagera,Karagwe,Karagwe DC,Chanika,Runyaga,Dispensary,Operating,Public - LGA,,18-01-0111,-1.4539,31.14891
108703-0,Kakobe,Kakobe,Lake Zone,Mwanza,Sengerema,Buchosa DC,Kazunzu,Kakobe,Health Center,Operating,Public - LGA,195003,19-05-0111,-2.37301,32.32772
102210-2,Kakola,Kakola,Western Zone,Tabora,Tabora,Tabora MC,Kakola,Kakola,Dispensary,Operating,Public,,14-06-0103,-4.83333,32.7667
102211-0,Kakonko,Kakonko RHC,Western Zone,Kigoma,Kakonko,Kakonko DC,Kakonko,Muganza,Health Center,Operating,Public - LGA,,,-3.273,30.98278
110849-7,Kakonko Mission,Kakonko Mission,Western Zone,Kigoma,Kakonko,Kakonko DC,Kakonko,Mbizi,Dispensary,Operating,Private - Faith based organization (FBO),,,-3.23367,30.95587
102209-4,Kakora,Kakota,Lake Zone,Geita,Nyang'hwale,Nyang'hwale DC,Kakora,Kakora,Dispensary,Operating,Public - LGA,,,-3.089447,32.72158
102213-6,Kakubilo,Kakubilo,Lake Zone,Geita,Geita,Geita DC,Kakubilo,Kakubilo,Dispensary,Operating,Public - LGA,,19-06-0155,-2.6109,32.07659
110219-3,Kakunyu,Kakunyu,Lake Zone,Kagera,Missenyi,Missenyi DC,Kakunyu,Not set,Dispensary,Operating,Public - LGA,110219-3,18-08-0116,-1.03253,30.93962
102216-9,Kakuraijo,Kakulaijo,Lake Zone,Kagera,Karagwe,Karagwe DC,Kibondo,Kakuraijo,Dispensary,Operating,Public - LGA,,18-01-0140,-1.75401,30.99677
102218-5,Kala,Kala,Southern Highlands Zone,Rukwa,Nkasi,Nkasi DC,Kala,Kala,Health Center,Operating,Private - Faith based organization (FBO),,,-8.137446,30.970014
102219-3,Kalaela,Kalaela Disp,Southern Highlands Zone,Rukwa,Kalambo,Kalambo DC,Sopa,Kalaela,Dispensary,Operating,Public - LGA,,,-8.46187,31.57675
110049-4,Kalagwa,Kalagwa,Western Zone,Shinyanga,Kahama,Msalala DC,Ntobo,Kalagwa,Dispensary,Operating,Public - LGA,,,-3.69546,32.49026
110150-0,Kalalangabo,,Western Zone,Kigoma,Kigoma,Kigoma DC,Kagongo,Kalalangabo,Dispensary,Operating,Public - LGA,,,-4.84441,29.62343
102221-9,Kalalani,KALALANI,Northern Zone,Tanga,Korogwe,Korogwe DC,Mashewa,Kalalani,Dispensary,Operating,Public - LGA,,,-4.605729,38.755959
102222-7,Kalalasi,kalalasi,Southern Highlands Zone,Rukwa,Kalambo,Kalambo DC,Mkali,Kalalasi,Dispensary,Operating,Public - LGA,,,-8.4159,31.5744
102223-5,Kalambazite,,Southern Highlands Zone,Rukwa,Sumbawanga,Sumbawanga DC,Mpui,Mpui B,Dispensary,Operating,Public - LGA,,,-8.39822,31.9359
102225-0,Kalangalala,Kalangalala Dispensary,Lake Zone,Mwanza,Sengerema,Sengerema DC,Buyagu,Kalangalala,Dispensary,Operating,Public - LGA,,,-2.80612,32.7934
102227-6,Kalangali,Kalangali,Central Zone,Singida,Manyoni,Itigi DC,Mitundu,Not set,Dispensary,Operating,Public,,,-6.0781,33.95542
102228-4,Kalangali,,Southern Highlands Zone,Mbeya,Chunya,Chunya DC,Mtanila,Kalangali,Dispensary,Operating,Public - LGA,,,-6.45678,38.2145
111482-6,Kalebela,,Southern Highlands Zone,Mbeya,Rungwe,Rungwe DC,Masoko,Not set,Dispensary,Operating,Public - LGA,,,-9.34024,33.72955
102231-8,Kalebezo,kalebezo,Lake Zone,Mwanza,Sengerema,Buchosa DC,Kalebezo,Kalebezo,Dispensary,Operating,Public - LGA,30759,,-2.50805,32.3578
102232-6,Kalela,Zahanati ya Kalela,Western Zone,Kigoma,Kasulu,Kasulu DC,Kwaga,Kalela,Dispensary,Operating,Public - LGA,,,-4.814065,29.932381
102233-4,Kalema,Bushagara,Lake Zone,Kagera,Bukoba,Bukoba DC,Buhendangabo,Bushagara,Dispensary,Operating,Public - LGA,102233-4,18-02-0112,-1.21215,31.8274
102234-2,Kalemawe,kalemawe dispensary,Northern Zone,Kilimanjaro,Same,Same DC,Kalemawe,Kalemawe,Dispensary,Operating,Public - LGA,,,-4.435717,38.085697
102235-9,Kalembo,Kalembo,Southern Highlands Zone,Songwe,Ileje,Ileje DC,Kalembo,Kalembo,Dispensary,Operating,Private - Faith based organization (FBO),,,-9.487144,33.448977
102236-7,Kalemela,,Western Zone,Tabora,Igunga,Igunga DC,Mwisi,Not set,Dispensary,Pending Operation - Construction Complete,Public - LGA,,,-4.540956,33.450309
102237-5,Kalemela,Kalemela Disp,Western Zone,Simiyu,Busega,Busega DC,Kalemela,Mayega,Dispensary,Operating,Public - LGA,,,-2.29663,33.7128
102238-3,Kalemela A,Kalemela A,Western Zone,Tabora,Urambo,Urambo DC,Muungano,Kalemela 'A',Dispensary,Operating,Public - LGA,,,-5.00787,32.044441
102239-1,Kalenga,Kalenga Dispensary,Southern Highlands Zone,Iringa,Iringa,Iringa DC,Kalenga,Kalenga,Dispensary,Operating,Public - LGA,,,-7.80415,35.6011
102241-7,Kalenge,Kalenge Dispensary,Western Zone,Kigoma,Uvinza,Uvinza DC,Kandaga,Kalenge,Dispensary,Operating,Public - LGA,,,-4.95686,29.87916
102242-5,Kalenge,,Lake Zone,Kagera,Biharamulo,Biharamulo DC,Kalenge,Kalenge,Health Center,Operating,Public - LGA,,,-3.15412,31.0654
102243-3,Kalepula,kalepula,Southern Highlands Zone,Rukwa,Kalambo,Kalambo DC,Ulumi,Kalepule 'A',Dispensary,Operating,Public - LGA,,,-8.76712,31.8394
102247-4,Kalilankulukulu,Kalilankulukulu,Southern Highlands Zone,Katavi,Mpanda,Mpanda DC,Kabungu,Mnyagala,Dispensary,Operating,Public - LGA,,,-6.36715,30.93901
102248-2,Kalinzi,Kalinzi Dispensary,Western Zone,Kigoma,Kigoma,Kigoma DC,Kalinzi,kalinzi,Dispensary,Operating,Public - LGA,,,-4.616765,29.725559
